hash,item,category_id,date,member_id,person_id,sort_order,record_id
3727d35f2d3b6262165511efd93ec075cb260c42,2,5f2cbd10,2023-10-30,,uk.org.publicwhip/person/25386,1,2023-10-30-5f2cbd10-25386-0
6add36490cf9d8dcceeae2a8f1292c821895b9e8,"From 18 February 2023, a Director of the Industry & Parliament Trust. This is an unpaid role. (Registered 08 March 2023)",5f2cbd10,2023-10-30,,uk.org.publicwhip/person/25386,0,2023-10-30-5f2cbd10-25386-0
8d3196f3101cf2a051b9f58d707cac9cf57435fc,Pettitts Ltd; management for the shared freehold flats of which I am a resident. (Registered 04 June 2015),ead2f460,2023-10-30,,uk.org.publicwhip/person/25386,0,2023-10-30-ead2f460-25386-0
a29acb20f3286cb5ca966f944f1a2d5f34cd3485,"2 September 2022, received Â£225. Hours: 30 mins. (Registered 02 February 2023)",10057ffd,2023-10-30,,uk.org.publicwhip/person/25386,3,2023-10-30-10057ffd-25386-0
76e7b0e9762fd83e7779c916e34f0e535130b315,"2 September 2022, received Â£225. Hours: 45 mins. (Registered 02 February 2023)",10057ffd,2023-10-30,,uk.org.publicwhip/person/25386,2,2023-10-30-10057ffd-25386-0
d36bba80085cc2850b3b0490a981065f1c05f454,"24 January 2023, received Â£225. Hours: 75 mins. (Registered 27 January 2023)",10057ffd,2023-10-30,,uk.org.publicwhip/person/25386,1,2023-10-30-10057ffd-25386-0
d1838f290fdccc9f81bde195cebca1e994c98db6,"Payments from Ipsos UK, 3 Thomas More Square, London E1W 1YW, for surveys:",10057ffd,2023-10-30,,uk.org.publicwhip/person/25386,0,2023-10-30-10057ffd-25386-0
37b258d6d7eaeda8042647b926dcd2c11463e1e3,"From 14 June 2023, Patron of the Adam Smith Institute. This is an unpaid role. (Registered 04 July 2023)",5f2cbd10,2023-10-30,,uk.org.publicwhip/person/24822,0,2023-10-30-5f2cbd10-24822-0
e847ac9b0085bf63c1f5f86db3f18a70fd2d90e4,"From 23 February 2017, British Telecom; telecommunications services company. (Registered 24 February 2017)",68d8a589,2023-10-30,,uk.org.publicwhip/person/24822,0,2023-10-30-68d8a589-24822-0
805bd18a94d247eccf5a5aae5171c1ad9ed5cc6b,"From 31 March 2021, a residential property in Dubai: (i). (Registered 12 April 2021)",3841fe0e,2023-10-30,,uk.org.publicwhip/person/24822,2,2023-10-30-3841fe0e-24822-0
7287f7c72265540933fdd244a00355041fe1e20c,"House in London, rented out from 30 June 2015: (i) and (ii). (Registered 31 July 2015)",3841fe0e,2023-10-30,,uk.org.publicwhip/person/24822,1,2023-10-30-3841fe0e-24822-0
6f7bfa39a21b3c261ac2a7421d692044b9be8db2,"Residential property and 31 acres of land in Warwickshire, with stables run as a livery yard by Zahawi and Zahawi Ltd who also receive rental income for them: (i) and (ii). (Updated 08 January 2020)",3841fe0e,2023-10-30,,uk.org.publicwhip/person/24822,0,2023-10-30-3841fe0e-24822-0
5fc7954aa25962894e58d0de844d1e17cf42817a,"Name of donor: Falcon and Associates
Address of donor: PO Box 214432, Dubai, UAE
Estimate of the probable value (or amount of any donation): Two return flights from London to Dubai and two tickets to attend Dubai World Cup and Post Position Gala, value Â£9,986.87
Destination of visit: Dubai, UAE
Dates of visit: 22-26 March 2023
Purpose of visit: To attend the Dubai World Cup.
(Registered 17 April 2023)",891eb863,2023-10-30,,uk.org.publicwhip/person/24822,0,2023-10-30-891eb863-24822-0
22679ea2a1af36a98fc9511e49f5b2e07d9a55b8,"Name of donor: Universal Music
Address of donor: 4 Pancras Square, London N1C 4AG
Amount of donation or nature and value if donation in kind: Four tickets with hospitality to a Lana Del Ray concert, value Â£1,047.80
Date received: 9 July 2023
Date accepted: 9 July 2023
Donor status: company, registration 00950138
(Registered 11 July 2023)",64e8edeb,2023-10-30,,uk.org.publicwhip/person/24822,2,2023-10-30-64e8edeb-24822-0
feea7c6edc88a627ab553982f0ba0b5ec4e1f231,"Name of donor: Jonathan Goldstein
Address of donor: private
Amount of donation or nature and value if donation in kind: Ticket with hospitality for Chelsea v Manchester United, value Â£550
Date received: 22 October 2022
Date accepted: 22 October 2022
Donor status: individual
(Registered 24 October 2022)",64e8edeb,2023-10-30,,uk.org.publicwhip/person/24822,1,2023-10-30-64e8edeb-24822-0
